gid,fips,name,centroid_x,centroid_y
64,47119,Maury,-87.0785108757808,35.6183812649601
65,48159,Franklin,-95.2191724258193,33.1765324157983
66,21117,Kenton,-84.5324871044261,38.9395169617884
67,17041,Douglas,-88.2185464064064,39.7676810554932
68,48367,Parker,-97.8050062093965,32.7775717237201
69,27133,Rock,-96.2529683241544,43.6748268320715
70,04019,Pima,-111.789033403856,32.0971225591039
71,26031,Cheboygan,-84.501222344203,45.4478755837578
72,35015,Eddy,-104.30420004455,32.4712976881416
73,12031,Duval,-81.6695424389548,30.3329926240192
74,18097,Marion,-86.1382632476034,39.7816362422721
75,18011,Boone,-86.4684164574733,40.0509304024357
1092,48303,Lubbock,-101.82047890221,33.6100859563501
76,21121,Knox,-83.8540595658884,36.8922396507114
77,17105,Livingston,-88.5578475165115,40.891882914986
78,45041,Florence,-79.7018949138264,34.0236150106986
79,39175,Wyandot,-83.3039642741209,40.8402794701717
80,72035,Cayey,-66.1480484517584,18.1052017760625
81,20193,Thomas,-101.055370482002,39.3510757479226
82,72049,Culebra,-65.2863806130249,18.3175213420334
83,18115,Ohio,-84.9645641157168,38.9494660767969
84,37149,Polk,-82.1680728113213,35.2781908909131
85,31035,Clay,-98.0512629590082,40.5243944116421
86,27135,Roseau,-95.8107991865051,48.7750187775634
87,21191,Pendleton,-84.3557202952119,38.6960074581457
88,31147,Richardson,-95.7175503620122,40.1247415035123
89,42001,Adams,-77.2161034699249,39.8714041133995
90,51036,Charles City,-77.0519621436027,37.3550426193707
91,17005,Bond,-89.4353835286629,38.8877358064882
92,20163,Rooks,-99.3248488773147,39.3502197175301
93,28101,Newton,-89.1184333642129,32.400211175107
94,31183,Wheeler,-98.5279894131642,41.914827253436
95,48237,Jack,-98.1728346887828,33.2337724838329
96,51640,Galax,-80.9164669419989,36.6673340275629
97,55069,Lincoln,-89.7341126089171,45.3373753205769
98,16023,Butte,-113.172036391556,43.723683484011
123,19095,Iowa,-92.0643372953957,41.6863026534092
99,48347,Nacogdoches,-94.6184853451769,31.6204951971169
100,20137,Norton,-99.9028663898684,39.7844382719435
101,28041,Greene,-88.6391732143882,31.2144980047851
102,35031,McKinley,-108.262298358999,35.5801947679324
103,54069,Ohio,-80.6220399184463,40.0955450955077
104,01027,Clay,-85.8583607708124,33.2698419275736
105,13273,Terrell,-84.4438152641902,31.7753827139656
106,17175,Stark,-89.7974586644925,41.0930977277962
107,20015,Butler,-96.8387853724621,37.7813435138587
108,29075,Gentry,-94.4094441883198,40.2109791596906
109,40153,Woodward,-99.2628304478684,36.423163181697
110,45081,Saluda,-81.7271316903083,34.007959715333
111,48133,Eastland,-98.8324356564453,32.3274399644753
112,46013,Brown,-98.351653552049,45.5899432328282
113,17117,Macoupin,-89.9243009305549,39.2609446784031
114,19187,Webster,-94.1798921416071,42.428558102046
115,47177,Warren,-85.7797083146757,35.6728263452257
116,40025,Cimarron,-102.51738849489,36.7481717730097
117,01093,Marion,-87.8870417310387,34.1369736345166
